cluster	contrast
2	15q_WT_n10_pDp_n10
3	15q_wMat_WT_n8_MDp_n9
2	16p11_WT_n9_dp_n11
1	16p11_WT_n9_df_n11
3	22q11_WT_n10_DEL_n10
1	AndR_WT_n22_12Q_Het_n11
2	AndR_WT_n22_12Q_n17
1	AndR_WT_n22_21Q_Het_n7
1	AndR_WT_n22_21Q_n12
2	AndR_WT_n22_48Q_Het_n10
1	AndR_WT_n22_48Q_n15
2	Arhgef6_WT_n32_Arhgef6_n16
1	Arid1b_WT_n1_Arid1b_n13
2	BALBC_WT_n9_BALBC_n12
3	BTBR_WT_n12_BTBR_n12
3	BTBR_FVB_n12_BTBR_n12
1	Chd8_Basson_WT_n12_Chd8_n12
1	Chd8_Nord_WT_n18_Chd8_n19
3	CNTNAP2_WT_n9_KO_n9
2	Dpyd_WT_n11_HET_n22
2	Dpyd_WT_n11_HOM_n12
2	Dvl1_WT_n21_KO_n26
2	En2_WT_n9_KO_n9
1	FMR1_WT_n8_KO_n8
3	FMR1_FVB_WT_n10_KO_n10
3	Gtf2i_WT_n20_YT_n20
3	Gtf2i_WT_n20_XS_n18
2	ITGB3_WT_n11_KO_n11
2	Magel2_WT_n6_MUT_n6
3	MAR_WT_n23_MAR_n22
3	NF1_WT_n9_HET_n10
2	NL1_WT_n26_KO_n27
3	NL3_WT_n8_KO_n8
3	NRXN1a_WT_n10_HET_n13
3	NRXN1a_WT_n10_KO_n9
3	SERT_KI_WT_n20_KI_n20
2	SERT_KI_129_WT_n21_KI_n21
1	SERT_KO_WT_n10_KO_n20
3	SHANK3_WT_n10_HET_n11
3	SHANK3_WT_n10_KO_n9
2	TSC1_WT_n26_MUT_n33
2	Turner_WT_n23_XO_n10
3	Ube3a_WT_n17_HET_n15
2	CHD7_Het_WT_n13_Chd7gt+_n13
3	CHD7_En1Cre_En1Cre_n12_En1CreChd7f+_n10
2	CHD7_En1Cre_En1Cre_n12_En1CreChd7ff_n10
2	Cacnb2_WT_n11_Cacnb2_n15
2	Scn1a_WT_n3_HET_n10
1	16p11_Golzio_WT_n12_df_n10
3	16p11_Golzio_WT_n12_dp_n9
1	16p11_Golzio_WT_n12_dfdp_n7
3	Kctd13_Golzio_WT_n19_HET_n21
2	Kctd13_Golzio_WT_n19_HOM_n19
2	Chd8_Kim_WT_n30_Chd8_n30
2	Kctd13_WT_n23_HET_n20
2	Kctd13_WT_n23_KO_n23
2	Ube3a_Dup_WT_n13_tTA_n11
1	Ube3a_Dup_WT_n13_TRE_n10
2	Ube3a_Dup_WT_n13_Dup15_n12
2	Taok2_WT_n16_HET_n13
2	Taok2_WT_n16_KO_n23
3	Nphp1_WT_n7_Tg_n9
3	Lat_WT_n9_HET_n12
3	Lat_WT_n9_HOM_n9
1	Setd5_WT_n12_HET_n11
2	Cul3_WT_n18_HET_n20
2	tcdd_WT_n21_TCDD_n34
2	latXkctd13_WT_n19_Kctd13Het_LatHet_n22
3	Tbr1_WT_n9_HET_n9
2	VPA_WT_n24_VPA_n30
2	Syngap1_WT_n16_HET_n18
2	CMMR_New_WT_n38_otc_n10
2	CMMR_New_WT_n38_pah_n15
3	CMMR_New_WT_n38_rab39b_n14
3	CMMR_New_WT_n38_ranbp17_n11
3	CMMR_New_WT_n38_upf3b_n13
3	CMMR_New_WT_n38_ypel2_n9
2	CMMR_New_WT_n38_katnal2_n14
3	CMMR_New_WT_n38_l2hgdh_n15
2	CMMR_New_WT_n38_nexmif_n19
3	GSK3_WT_n7_Beta_n7
2	GSK3_WT_n7_Alpha_n6
2	Itsn_WT_n10_itsn1_n15
2	Itsn_WT_n10_itsn2_n15
1	Itsn_WT_n10_DKO_n3
1	Mthfr_WT_n29_HET_n30
